hospcode,name,prigov,type,org,region,provcode,prov,distcode,dist,subdistcode,subdist
01958,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนา,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,6,21,ระยอง,2103,แกลง,210308,บ้านนา
05621,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกสว่าง ตำบลโคกสว่าง,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,8,48,นครพนม,4802,ปลาปาก,480204,โคกสว่าง
10450,โรงพยายาบส่งเสริมสุขภาพตำบลบ้านโป่งกลางน้ำ ,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,1,57,เชียงราย,5710,แม่สรวย,571006,วาวี
01748,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหลวง,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,4,19,สระบุรี,1907,ดอนพุด,190703,บ้านหลวง
01612,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านธัญญอุดม,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,3,18,ชัยนาท,1801,เมืองชัยนาท,180106,หาดท่าเสา
11014,โรงพยาบาลหนองวัวซอ,รัฐบาล,โรงพยาบาลชุมชน,กระทรวงสาธารณสุข,8,41,อุดรธานี,4103,หนองวัวซอ,410301,หมากหญ้า
11168,ศูนย์บริการสาธารณสุข1เทศบาลนครปากเกร็ด,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,4,12,นนทบุรี,1206,ปากเกร็ด,120601,ปากเกร็ด
01923,โรงพยาบาลส่งเสริมสุขภาพตำบลเพ,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,6,21,ระยอง,2101,เมืองระยอง,210105,เพ
09428,โรงพยาบาลส่งเสริมสุขภาพตำบลเขาค่าย,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,11,86,ชุมพร,8607,สวี,860711,เขาค่าย
09910,โรงพยาบาลส่งเสริมสุขภาพตำบลท่าเรือ,รัฐบาล,โรงพยาบาลส่งเสริมสุขภาพตำบล,กระทรวงสาธารณสุข,12,94,ปัตตานี,9402,โคกโพธิ์,940211,ท่าเรือ
07200,โรงพยาบาลส่งเสริมสุขภาพตำบลโค้งไผ่ ตำบลโค้งไผ่,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.,องค์กรปกครองส่วนท้องถิ่น,3,62,กำแพงเพชร,6204,ขาณุวรลักษบุรี,620410,โค้งไผ่
