"hoscode","hosname","hostype","address","road","mu","subdistcode","distcode","provcode","postcode","hoscodenew","bed","level_service","bedhos","hdc_regist","dep","hmain_sent","register_date","mcode","amcode","tmcode","lat","lon"
"00001","สำนักงานสาธารณสุขจังหวัดสมุทรปราการ","01","186/1  ถ.ยุทธดำเนิน ",NULL,"00","01","01",11,12070,"000000100",0,NULL,0,0,21002,"",NULL,21000,1101,110101,13.59897553466886100000,100.60711084976810000000
"00003","สำนักงานสาธารณสุขจังหวัดปทุมธานี","01","14 ถ.รัฐอำนวย","","00","01","01",13,12000,"000000300",0,"-",0,0,21002,"",NULL,21000,1301,130101,14.02184484513043800000,100.53443321786380000000
"00004","สำนักงานสาธารณสุขจังหวัดพระนครศรีอยุธยา","01","-","","00","03","01",14,"-","000000400",0,"-",0,0,21002,"",NULL,21000,1401,140103,14.35894233938194000000,100.58001423740393000000
"00005","สำนักงานสาธารณสุขจังหวัดอ่างทอง","01","-","","00","08","01",15,"-","000000500",0,"-",0,0,21002,"",NULL,21000,1501,150108,14.57967568127887700000,100.47876143840745000000
"00006","สำนักงานสาธารณสุขจังหวัดลพบุรี","01","260/55 ชุมชน 4 สันติสุข  ถนนพหลโยธิน เทศบาลเมืองเข","","00","01","01",16,15000,"000000600",0,"-",0,1,21002,"",NULL,21000,1601,160101,14.80596600000000000000,100.65226400000000000000
"00007","สำนักงานสาธารณสุขจังหวัดสิงห์บุรี","01","44/4 ","","04","06","01",17,16000,"000000700",0,"-",0,0,21002,"",NULL,21000,1701,170106,14.86898762527009800000,100.40091991277632000000
"00008","สำนักงานสาธารณสุขจังหวัดชัยนาท","01","-","","06","04","01",18,"-","000000800",0,"-",0,0,21002,"",NULL,21000,1801,180104,15.15377571028661300000,100.15291921715084000000
"00009","สำนักงานสาธารณสุขจังหวัดสระบุรี","01","-",NULL,"00","01","01",19,"-","000000900",0,"-",0,0,21002,"",NULL,21000,1901,190101,14.52727757801256700000,100.91068007116394000000
"00010","สำนักงานสาธารณสุขจังหวัดชลบุรี","01","-","","04","05","01",20,"-","000001000",0,"-",0,0,21002,"",NULL,21000,2001,200105,13.35389192835498100000,100.98165717840425000000
"00011","สำนักงานสาธารณสุขจังหวัดระยอง","01","142 ม.2  ","","02","09","01",21,21000,"000001100",0,"-",0,0,21002,"",NULL,21000,2101,210109,12.68304258527687400000,101.22304132499244000000
"00012","สำนักงานสาธารณสุขจังหวัดจันทบุรี","01","1166/19 ถ.ท่าแฉลบ ","","00","01","01",22,22000,"000001200",0,"-",0,0,21002,"",NULL,21000,2201,220101,12.59441135699178100000,102.09326948695639000000
"00013","สำนักงานสาธารณสุขจังหวัดตราด","01","6 ซ.ชัยมงคล 1 ","","00","01","01",23,23000,"000001300",0,"-",0,0,21002,"",NULL,21000,2301,230101,12.24311018482620200000,102.51945932513127000000
"00015","สำนักงานสาธารณสุขจังหวัดปราจีนบุรี","01","-","","08","02","01",25,"-","000001500",0,"-",0,0,21002,"",NULL,21000,2501,250102,14.04546621542969500000,101.36868736780139000000
"00016","สำนักงานสาธารณสุขจังหวัดนครนายก","01","-","","00",12,"01",26,"-","000001600",0,"-",0,0,21002,"",NULL,21000,2601,260112,14.23677860100752400000,101.23458807242196000000
"00018","สำนักงานสาธารณสุขจังหวัดนครราชสีมา","01",255 ,"",11,17,"01",30,"-","000001800",0,"-",0,0,21002,"",NULL,21000,3001,300117,14.92695265867516000000,101.99481538917235000000
"00019","สำนักงานสาธารณสุขจังหวัดบุรีรัมย์","01","-","","00","01","01",31,"-","000001900",0,"-",0,0,21002,"",NULL,21000,3101,310101,14.99457889690673300000,103.10970942308290000000
"00020","สำนักงานสาธารณสุขจังหวัดสุรินทร์","01","7 ถนนกรุงศรีนอก","","00","01","01",32,32000,"000002000",0,"-",0,0,21002,"",NULL,21000,3201,320101,14.87874610000000000000,103.48902830000000000000
"00022","สำนักงานสาธารณสุขจังหวัดอุบลราชธานี","01","-",NULL,"00","01","01",34,"-","000002200",0,"-",0,0,21002,"",NULL,21000,3401,340101,15.22474698730486700000,104.85531635026246000000
"00023","สำนักงานสาธารณสุขจังหวัดยโสธร","01","ถ.ศาลากลาง 1","","00","-","01",35,35000,"000002300",0,"-",0,0,21002,"",NULL,21000,3501,"3501-",15.80175654483563700000,104.14094883933535000000
"00025","สำนักงานสาธารณสุขจังหวัดอำนาจเจริญ","01","-",NULL,"00",13,"01",37,"-","000002500",0,NULL,0,0,21002,"",NULL,21000,3701,370113,15.90599318822429500000,104.62534817368010000000
"00026","สำนักงานสาธารณสุขจังหวัดหนองบัวลำภู","01",153 ,"","01","01","01",39,"-","000002600",0,"-",0,1,21002,"",NULL,21000,3901,390101,17.20765837956648000000,102.44660052662971000000
"00027","สำนักงานสาธารณสุขจังหวัดขอนแก่น","01","108 ถ.ศรีจันทร์ ","","04","01","01",40,40000,"000002700",0,"-",0,0,21002,"",NULL,21000,4001,400101,16.42890753267346000000,102.84406012327884000000
"00029","สำนักงานสาธารณสุขจังหวัดเลย","01","ถ.มลิวรรณ ","","06","07","01",42,42000,"000002900",0,"-",0,0,21002,"",NULL,21000,4201,420107,17.45250049357334300000,101.72943442701830000000
"00030","สำนักงานสาธารณสุขจังหวัดหนองคาย","01",229 ,"","01",16,"01",43,43000,"000003000",0,"-",0,0,21002,"",NULL,21000,4301,430116,17.86510722528308000000,102.74302737512426000000
"00031","สำนักงานสาธารณสุขจังหวัดมหาสารคาม","01","-","","00","04","01",44,"-","000003100",0,"-",0,0,21002,"",NULL,21000,4401,440104,16.15718442892434600000,103.30556985626515000000
