geometry,data,zone,name,id,type
"MULTIPOLYGON (((100.4991 13.744931, 100.490157 13.745491, 100.485489 13.756411, 100.496819 13.775111, 100.507813 13.766512, 100.4991 13.744931)))",80,,พระนคร,1001,3
"MULTIPOLYGON (((100.518509 13.802021, 100.536072 13.79981, 100.51812 13.755731, 100.496819 13.775111, 100.518509 13.802021)))",80,,ดุสิต,1002,3
"MULTIPOLYGON (((100.914001 13.933711, 100.907403 13.85982, 100.903474 13.848071, 100.893341 13.84949, 100.939056 13.813432, 100.910569 13.7891, 100.881432 13.74011, 100.872642 13.743953, 100.859124 13.77424, 100.830421 13.770801, 100.814086 13.788031, 100.792931 13.788161, 100.807167 13.811921, 100.80053 13.821722, 100.808678 13.8561, 100.799317 13.852622, 100.787406 13.881752, 100.798187 13.895741, 100.792587 13.929851, 100.915145 13.944262, 100.914001 13.933711)))",80,,หนองจอก,1003,3
"MULTIPOLYGON (((100.521926 13.72298, 100.510681 13.722281, 100.514908 13.741361, 100.543373 13.72953, 100.521926 13.72298)))",80,,บางรัก,1004,3
"MULTIPOLYGON (((100.611259 13.888851, 100.652466 13.889179, 100.660607 13.881702, 100.680335 13.882531, 100.68505 13.872111, 100.658287 13.8506, 100.588502 13.846591, 100.586854 13.882992, 100.609871 13.90241, 100.611259 13.888851)))",80,,บางเขน,1005,3
"MULTIPOLYGON (((100.627609 13.822471, 100.641701 13.789761, 100.654747 13.773892, 100.663841 13.778691, 100.66883 13.759471, 100.677971 13.75551, 100.658309 13.741781, 100.634773 13.753671, 100.598922 13.751431, 100.613426 13.764401, 100.628724 13.766202, 100.627701 13.791461, 100.622178 13.802859, 100.612572 13.80247, 100.627609 13.822471)))",80,,บางกะปิ,1006,3
"MULTIPOLYGON (((100.524002 13.752541, 100.548829 13.75164, 100.551842 13.725929, 100.514908 13.741361, 100.516456 13.75618, 100.524002 13.752541)))",80,,ปทุมวัน,1007,3
"MULTIPOLYGON (((100.514922 13.74439, 100.50222 13.75095, 100.507813 13.766512, 100.516404 13.75734, 100.514922 13.74439)))",80,,ป้อมปราบฯ,1008,3
"MULTIPOLYGON (((100.61538 13.71014, 100.631012 13.708341, 100.639413 13.68119, 100.631149 13.689541, 100.590462 13.685969, 100.582574 13.697422, 100.61538 13.71014)))",80,,พระโขนง,1009,3
"MULTIPOLYGON (((100.801811 13.825769, 100.807167 13.811921, 100.794349 13.797761, 100.782317 13.802301, 100.783919 13.785611, 100.744691 13.77706, 100.715051 13.781059, 100.695831 13.81805, 100.711457 13.825152, 100.719361 13.84238, 100.728675 13.83456, 100.733589 13.84351, 100.748139 13.825031, 100.80858 13.856941, 100.801811 13.825769)))",80,,มีนบุรี,1010,3
"MULTIPOLYGON (((100.79998 13.785481, 100.814086 13.788031, 100.830421 13.770801, 100.859124 13.77424, 100.872642 13.743953, 100.881432 13.74011, 100.85604 13.69938, 100.860191 13.688351, 100.789421 13.715261, 100.70703 13.721351, 100.705239 13.76052, 100.715051 13.781059, 100.744691 13.77706, 100.783623 13.785481, 100.782174 13.80211, 100.787751 13.803801, 100.79998 13.785481)))",80,,ลาดกระบัง,1011,3
"MULTIPOLYGON (((100.547997 13.722292, 100.556396 13.704761, 100.553451 13.681721, 100.536248 13.668441, 100.516251 13.686769, 100.531029 13.70221, 100.527977 13.709342, 100.542771 13.710311, 100.547997 13.722292)))",80,,ยานนาวา,1012,3
"MULTIPOLYGON (((100.511558 13.73253, 100.497498 13.742291, 100.50222 13.75095, 100.514922 13.74336, 100.511558 13.73253)))",80,,สัมพันธวงศ์,1013,3
"MULTIPOLYGON (((100.536827 13.799901, 100.560211 13.797421, 100.547341 13.766701, 100.526657 13.776952, 100.536827 13.799901)))",80,,พญาไท,1014,3
"MULTIPOLYGON (((100.490189 13.726481, 100.497033 13.708542, 100.481011 13.697901, 100.467461 13.72084, 100.482665 13.727951, 100.490157 13.745491, 100.496566 13.742531, 100.490189 13.726481)))",80,,ธนบุรี,1015,3
"MULTIPOLYGON (((100.487105 13.749642, 100.48233 13.727621, 100.46482 13.728721, 100.460266 13.747611, 100.487105 13.749642)))",80,,บางกอกใหญ่,1016,3
"MULTIPOLYGON (((100.583932 13.80543, 100.602081 13.754551, 100.595964 13.74468, 100.561692 13.75118, 100.573478 13.80355, 100.583932 13.80543)))",80,,ห้วยขวาง,1017,3
"MULTIPOLYGON (((100.49846 13.709171, 100.490189 13.726481, 100.496566 13.742531, 100.509017 13.737931, 100.511307 13.728001, 100.49846 13.709171)))",80,,คลองสาน,1018,3
"MULTIPOLYGON (((100.408669 13.800031, 100.466958 13.795441, 100.465118 13.78173, 100.451371 13.771359, 100.460266 13.747611, 100.430603 13.74365, 100.404038 13.75275, 100.408669 13.800031)))",80,,ตลิ่งชัน,1019,3
"MULTIPOLYGON (((100.472298 13.783361, 100.489182 13.76454, 100.486221 13.751342, 100.462119 13.746811, 100.45179 13.773381, 100.465118 13.78173, 100.463936 13.78913, 100.472298 13.783361)))",80,,บางกอกน้อย,1020,3
"MULTIPOLYGON (((100.445609 13.684611, 100.452859 13.67392, 100.448608 13.66148, 100.470588 13.65655, 100.478385 13.601719, 100.470832 13.59265, 100.468017 13.602811, 100.455537 13.60426, 100.447906 13.58615, 100.453246 13.501585, 100.410843 13.4925, 100.405159 13.51082, 100.420418 13.54183, 100.418458 13.55963, 100.393952 13.558222, 100.385064 13.587702, 100.376968 13.584951, 100.382156 13.589961, 100.374017 13.623601, 100.445609 13.684611)))",80,,บางขุนเทียน,1021,3
