จังหวัด,อำเภอ,ตำบล,Login Code
กรุงเทพมหานคร,พระนคร,เขตพระนคร,100100
กรุงเทพมหานคร,พระนคร,พระบรมมหาราชวัง,100101
กรุงเทพมหานคร,พระนคร,วังบูรพาภิรมย์,100102
กรุงเทพมหานคร,พระนคร,วัดราชบพิธ,100103
กรุงเทพมหานคร,พระนคร,สำราญราษฎร์,100104
กรุงเทพมหานคร,พระนคร,ศาลเจ้าพ่อเสือ,100105
กรุงเทพมหานคร,พระนคร,เสาชิงช้า,100106
กรุงเทพมหานคร,พระนคร,บวรนิเวศ,100107
กรุงเทพมหานคร,พระนคร,ตลาดยอด,100108
กรุงเทพมหานคร,พระนคร,ชนะสงคราม,100109
กรุงเทพมหานคร,พระนคร,บ้านพานถม,100110
กรุงเทพมหานคร,พระนคร,บางขุนพรหม,100111
กรุงเทพมหานคร,พระนคร,วัดสามพระยา,100112
กรุงเทพมหานคร,ดุสิต,เขตดุสิต,100200
กรุงเทพมหานคร,ดุสิต,ดุสิต,100201
กรุงเทพมหานคร,ดุสิต,วชิรพยาบาล,100202
กรุงเทพมหานคร,ดุสิต,สวนจิตรลดา,100203
กรุงเทพมหานคร,ดุสิต,สี่แยกมหานาค,100204
กรุงเทพมหานคร,ดุสิต,ถนนนครไชยศรี,100205
กรุงเทพมหานคร,ดุสิต,ถนนนครไชยศรี,100206
กรุงเทพมหานคร,หนองจอก,เขตหนองจอก,100300
กรุงเทพมหานคร,หนองจอก,กระทุ่มราย,100301
กรุงเทพมหานคร,หนองจอก,หนองจอก,100302
กรุงเทพมหานคร,หนองจอก,คลองสิบ,100303
กรุงเทพมหานคร,หนองจอก,คลองสิบสอง,100304
กรุงเทพมหานคร,หนองจอก,โคกแฝด,100305
กรุงเทพมหานคร,หนองจอก,คู้ฝั่งเหนือ,100306
กรุงเทพมหานคร,หนองจอก,ลำผักชี,100307
กรุงเทพมหานคร,หนองจอก,ลำต้อยติ่ง,100308
กรุงเทพมหานคร,บางรัก,เขตบางรัก,100400
กรุงเทพมหานคร,บางรัก,มหาพฤฒาราม,100401
กรุงเทพมหานคร,บางรัก,สีลม,100402
กรุงเทพมหานคร,บางรัก,สุริยวงศ์,100403
กรุงเทพมหานคร,บางรัก,บางรัก,100404
กรุงเทพมหานคร,บางรัก,สี่พระยา,100405
กรุงเทพมหานคร,บางเขน,เขตบางเขน,100500
กรุงเทพมหานคร,บางเขน,อนุสาวรีย์,100501
กรุงเทพมหานคร,บางเขน,ท่าแร้ง,100502
กรุงเทพมหานคร,บางเขน,ท่าแร้ง,100508
กรุงเทพมหานคร,บางกะปิ,เขตบางกะปิ,100600
กรุงเทพมหานคร,บางกะปิ,คลองจั่น,100601
กรุงเทพมหานคร,บางกะปิ,หัวหมาก,100602
กรุงเทพมหานคร,บางกะปิ,หัวหมาก,100608
กรุงเทพมหานคร,ปทุมวัน,เขตปทุมวัน,100700
กรุงเทพมหานคร,ปทุมวัน,รองเมือง,100701
กรุงเทพมหานคร,ปทุมวัน,วังใหม่,100702
กรุงเทพมหานคร,ปทุมวัน,ปทุมวัน,100703
กรุงเทพมหานคร,ปทุมวัน,ลุมพินี,100704
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,เขตป้อมปราบศัตรูพ่าย,100800
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,100801
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,วัดเทพศิรินทร์,100802
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,คลองมหานาค,100803
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,บ้านบาตร,100804
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,วัดโสมนัส,100805
กรุงเทพมหานคร,พระโขนง,เขตพระโขนง,100900
กรุงเทพมหานคร,พระโขนง,บางจาก,100901
กรุงเทพมหานคร,พระโขนง,บางจาก,100905
กรุงเทพมหานคร,พระโขนง,พระโขนงใต้,100910
กรุงเทพมหานคร,มีนบุรี,เขตมีนบุรี,101000
กรุงเทพมหานคร,มีนบุรี,มีนบุรี,101001
กรุงเทพมหานคร,มีนบุรี,แสนแสบ,101002
กรุงเทพมหานคร,ลาดกระบัง,เขตลาดกระบัง,101100
กรุงเทพมหานคร,ลาดกระบัง,ลาดกระบัง,101101
กรุงเทพมหานคร,ลาดกระบัง,คลองสองต้นนุ่น,101102
กรุงเทพมหานคร,ลาดกระบัง,คลองสามประเวศ,101103
กรุงเทพมหานคร,ลาดกระบัง,ลำปลาทิว,101104
กรุงเทพมหานคร,ลาดกระบัง,ทับยาว,101105
กรุงเทพมหานคร,ลาดกระบัง,ขุมทอง,101106
กรุงเทพมหานคร,ยานนาวา,เขตยานนาวา,101200
กรุงเทพมหานคร,ยานนาวา,ช่องนนทรี,101201
กรุงเทพมหานคร,ยานนาวา,บางโพงพาง,101202
กรุงเทพมหานคร,ยานนาวา,ช่องนนทรี,101203
กรุงเทพมหานคร,ยานนาวา,บางโพงพาง,101204
กรุงเทพมหานคร,สัมพันธวงศ์,เขตสัมพันธวงศ์,101300
กรุงเทพมหานคร,สัมพันธวงศ์,จักรวรรดิ,101301
กรุงเทพมหานคร,สัมพันธวงศ์,สัมพันธวงศ์,101302
กรุงเทพมหานคร,สัมพันธวงศ์,ตลาดน้อย,101303
กรุงเทพมหานคร,พญาไท,เขตพญาไท,101400
กรุงเทพมหานคร,พญาไท,สามเสนใน,101401
กรุงเทพมหานคร,พญาไท,พญาไท,101406
กรุงเทพมหานคร,ธนบุรี,เขตธนบุรี,101500
กรุงเทพมหานคร,ธนบุรี,วัดกัลยาณ์,101501
กรุงเทพมหานคร,ธนบุรี,หิรัญรูจี,101502
กรุงเทพมหานคร,ธนบุรี,บางยี่เรือ,101503
กรุงเทพมหานคร,ธนบุรี,บุคคโล,101504
กรุงเทพมหานคร,ธนบุรี,ตลาดพลู,101505
กรุงเทพมหานคร,ธนบุรี,ดาวคะนอง,101506
กรุงเทพมหานคร,ธนบุรี,สำเหร่,101507
กรุงเทพมหานคร,บางกอกใหญ่,เขตบางกอกใหญ่,101600
กรุงเทพมหานคร,บางกอกใหญ่,วัดอรุณ,101601
กรุงเทพมหานคร,บางกอกใหญ่,วัดท่าพระ,101602
กรุงเทพมหานคร,ห้วยขวาง,เขตห้วยขวาง,101700
กรุงเทพมหานคร,ห้วยขวาง,ห้วยขวาง,101701
กรุงเทพมหานคร,ห้วยขวาง,บางกะปิ,101702
กรุงเทพมหานคร,ห้วยขวาง,สามเสนนอก,101703
กรุงเทพมหานคร,ห้วยขวาง,สามเสนนอก,101704
กรุงเทพมหานคร,คลองสาน,เขตคลองสาน,101800
กรุงเทพมหานคร,คลองสาน,สมเด็จเจ้าพระยา,101801
กรุงเทพมหานคร,คลองสาน,คลองสาน,101802
กรุงเทพมหานคร,คลองสาน,บางลำภูล่าง,101803
กรุงเทพมหานคร,คลองสาน,คลองต้นไทร,101804
กรุงเทพมหานคร,ตลิ่งชัน,เขตตลิ่งชัน,101900
กรุงเทพมหานคร,ตลิ่งชัน,คลองชักพระ,101901
กรุงเทพมหานคร,ตลิ่งชัน,ตลิ่งชัน,101902
กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี,101903
กรุงเทพมหานคร,ตลิ่งชัน,บางพรม,101904
กรุงเทพมหานคร,ตลิ่งชัน,บางระมาด,101905
กรุงเทพมหานคร,ตลิ่งชัน,บางเชือกหนัง,101906
กรุงเทพมหานคร,ตลิ่งชัน,บางเชือกหนัง,101907
กรุงเทพมหานคร,บางกอกน้อย,เขตบางกอกน้อย,102000
กรุงเทพมหานคร,บางกอกน้อย,ศิริราช,102001
กรุงเทพมหานคร,บางกอกน้อย,บ้านช่างหล่อ,102002
กรุงเทพมหานคร,บางกอกน้อย,บางขุนนนท์,102003
กรุงเทพมหานคร,บางกอกน้อย,บางขุนศรี,102004
กรุงเทพมหานคร,บางกอกน้อย,อรุณอมรินทร์,102005
กรุงเทพมหานคร,บางกอกน้อย,บางขุนนนท์,102006
กรุงเทพมหานคร,บางกอกน้อย,บางขุนศรี,102007
กรุงเทพมหานคร,บางกอกน้อย,อรุณอมรินทร์,102009
กรุงเทพมหานคร,บางขุนเทียน,เขตบางขุนเทียน,102100
กรุงเทพมหานคร,บางขุนเทียน,ท่าข้าม,102101
กรุงเทพมหานคร,บางขุนเทียน,แสมดำ,102102
กรุงเทพมหานคร,บางขุนเทียน,ท่าข้าม,102105
กรุงเทพมหานคร,บางขุนเทียน,แสมดำ,102107
