ชื่ออำเภอ (ภาษาอังกฤษ),ชื่ออำเภอ (ภาษาไทย) ,รหัสอำเภอ
Chiang Khong,เชียงของ,57030000
Chiang Khwan,เชียงขวัญ,45180000
Chiang Klang,เชียงกลาง,55090000
Chiang Saen,เชียงแสน,57080000
Chiang Yuen,เชียงยืน,44050000
Cho-airong,เจาะไอร้อง,96130000
Chok Chai,โชคชัย,30070000
Chom Bueng,จอมบึง,70020000
Chom Phra,จอมพระ,32040000
Chom Thong,จอมทอง,50020000
Chom Thong,เขตจอมทอง,10350000
Chon Daen,ชนแดน,67020000
Chonnabot,ชนบท,40180000
Chuen Chom,ชื่นชม,44130000
Chulabhorn,จุฬาภรณ์,80190000
Chum Phae,ชุมแพ,40050000
Chum Phuang,ชุมพวง,30170000
Chum Saeng,ชุมแสง,60030000
Chum Ta Bong,ชุมตาบง,60150000
Chumphon Buri,ชุมพลบุรี,32020000
Damnoen Saduak,ดำเนินสะดวก,70040000
Dan Chang,ด่านช้าง,72030000
Dan Khun Thot,ด่านขุนทด,30080000
Dan Makham Tia,ด่านมะขามเตี้ย,71110000
Dan Sai,ด่านซ้าย,42050000
Den Chai,เด่นชัย,54050000
Det Udom,เดชอุดม,34070000
Din Daeng,เขตดินแดง,10260000
Doem Bang Nang Buat,เดิมบางนางบวช,72020000
Doi Lo,ดอยหล่อ,50240000
Doi Luang,ดอยหลวง,57180000
Doi Saket,ดอยสะเก็ด,50050000
Doi Tao,ดอยเต่า,50170000
Don Chan,ดอนจาน,46170000
Don Chedi,ดอนเจดีย์,72060000
Don Mot Daeng,ดอนมดแดง,34240000
Don Mueang,เขตดอนเมือง,10360000
Don Phut,ดอนพุด,19070000
Don Sak,ดอนสัก,84030000
Don Tan,ดงหลวง,49040000
Don Tan,ดอนตาล,49030000
Don Tum,ดอนตูม,73040000
Dong Charoen,ดงเจริญ,66110000
Dusit,เขตดุสิต,10020000
Erawan,เอราวัณ,42130000
Fak Tha,ฟากท่า,53050000
Fang,ฝาง,50090000
Fao Rai,เฝ้าไร่,43150000
Hang Chat,ห้างฉัตร,52120000
Hang Dong,หางดง,50150000
Hankha,หันคา,18060000
Hat Samran,หาดสำราญ,92100000
Hat Yai,หาดใหญ่,90110000
Hot,ฮอด,50160000
Hua Hin,หัวหิน,77070000
Hua Sai,หัวไทร,80160000
Hua Taphan,หัวตะพาน,37060000
Huai Khot,ห้วยคต,61080000
Huai Khwang,เขตห้วยขวาง,10170000
Huai Krachao,ห้วยกระเจา,71130000
Huai Mek,ห้วยเม็ก,46080000
Huai Phueng,ห้วยผึ้ง,46140000
Huai Rat,ห้วยราช,31160000
Huai Thalaeng,ห้วยแถลง,30160000
Huai Thap Than,ห้วยทับทัน,33120000
Huai Yot,ห้วยยอด,92060000
In Buri,อินทร์บุรี,17060000
Kabang,กาบัง,95070000
Kabin Buri,กบินทร์บุรี,25020000
Kae Dam,แกดำ,44020000
Kaeng Hang Maeo,แก่งหางแมว,22080000
Kaeng Khoi,แก่งคอย,19020000
Kaeng Khro,แก้งคร้อ,36120000
Kaeng Krachan,แก่งกระจาน,76080000
Kaeng Sanam Nang,แก้งสนามนาง,30230000
Kamalasai,กมลาไสย,46030000
Kamphaeng Saen,กำแพงแสน,73020000
Kanchanadit,กาญจนดิษฐ์,84020000
Kanlayaniwatthana,กัลยาณิวัฒนา,50250000
Kantang,กันตัง,92020000
Kantharalak,กันทรลักษ์,33040000
Kanthararom,กันทรารมย์,33030000
Kantharawichai,กันทรวิชัย,44040000
Kao Liao,เก้าเลี้ยว,60060000
Kap Choeng,กาบเชิง,32060000
Kapho,กะพ้อ,94110000
Kapong,กะปง,82030000
Kaset Sombun,เกษตรสมบูรณ์,36040000
Kaset Wisai,เกษตรวิสัย,45020000
Kathu,กะทู้,83020000
Khaen Dong,แคนดง,31220000
Khai Bang Rachan,ค่ายบางระจัน,17030000
Kham Khuean Kaeo,คำเขื่อนแก้ว,35040000
Kham Muang,คำม่วง,46100000
Kham Sakaesaeng,ขามสะแกแสง,30110000
Kham Ta Kla,คำตากล้า,47090000
Kham Thale So,ขามทะเลสอ,30190000
Khamcha-i,คำชะอี,49050000
Khanna Yao,เขตคันนายาว,10430000
Khanom,ขนอม,80150000
Khanu Woralaksaburi,ขาณุวรลักษบุรี,62040000
Khao Chaison,เขาชัยสน,93030000
Khao Chakan,เขาฉกรรจ์,27070000
Khao Chamao,เขาชะเมา,21070000
Khao Khitchakut,เขาคิชฌกูฏ,22100000
Khao Phanom,เขาพนม,81020000
Khao Saming,เขาสมิง,23030000
Khao Suan Kwang,เขาสวนกวาง,40190000
Khao Wong,เขาวง,46060000
Khao Yoi,เขาย้อย,76020000
Khao kho,เขาค้อ,67110000
Khemarat,เขมราฐ,34050000
Khian Sa,เคียนซา,84140000
Khiri Mat,คีรีมาศ,64030000
Khiri Rat Nikhom,คีรีรัฐนิคม,84080000
Khlong Hat,คลองหาด,27020000
Khlong Hoi Khong,คลองหอยโข่ง,90160000
Khlong Khlung,คลองขลุง,62050000
Khlong Khuean,คลองเขื่อน,24110000
Khlong Lan,คลองลาน,62030000
Khlong Sam Wa,เขตคลองสามวา,10460000
Khlong San,เขตคลองสาน,10180000
Khlong Thom,คลองท่อม,81040000
Khlong Toei,เขตคลองเตย,10330000
Khlong Yai,คลองใหญ่,23020000
Khlung,ขลุง,22020000
Kho Wang,ค้อวัง,35070000
Khok Charoen,โคกเจริญ,16090000
Khok Pho,โคกโพธิ์,94020000
Khok Pho Chai,โคกโพธิ์ไชย,40220000
Khok Samrong,โคกสำโรง,16030000
Khok Si Suphan,โคกศรีสุพรรณ,47150000
Khok Sung,โคกสูง,27080000
Khon Buri,ครบุรี,30020000
Khon San,คอนสาร,36130000
Khon Sawan,คอนสวรรค์,36030000
Khong,คง,30040000
Khong Chai,ฆ้องชัย,46180000
Khong Chiam,โขงเจียม,34030000
Khu Mueang,คูเมือง,31020000
Khuan Don,ควนโดน,91020000
Khuan Kalong,ควนกาหลง,91030000
Khuan Khanun,ควนขนุน,93050000
Khuan Niang,ควนเนียง,90130000
Khueang Nai,เขื่องใน,34040000
Khukhan,ขุขันธ์,33050000
Khun Han,ขุนหาญ,33080000
Khun Tan,ขุนตาล,57140000
Khun Yuam,ขุนยวม,58020000
Khura Buri,คุระบุรี,82060000
Khwao Sinarin,เขวาสินรินทร์,32160000
Klaeng,แกลง,21030000
Ko Chan,เกาะจันทร์,20110000
Ko Chang,เกาะช้าง,23070000
Ko Kut,เกาะกูด,23060000
Ko Lanta,เกาะลันตา,81030000
Ko Pha-ngan,เกาะพะงัน,84050000
Ko Samui,เกาะสมุย,84040000
Ko Sichang,เกาะสีชัง,20080000
Ko Yao,เกาะยาว,82020000
Ko kha,เกาะคา,52030000
Kong Krailat,กงไกรลาศ,64040000
Kong Ra,กงหรา,93020000
Kosamphi Nakhon,โกสัมพีนคร,62110000
Kosum Phisai,โกสุมพิสัย,44030000
Kra Buri,กระบุรี,85040000
Kranuan,กระนวน,40090000
Krasae Sin,กระแสสินธุ์,90080000
Krasang,กระสัง,31030000
Krathum Baen,กระทุ่มแบน,74020000
Krok Phra,โกรกพระ,60020000
Krong Pinang,กรงปินัง,95080000
Ku Kaeo,กู่แก้ว,41240000
Kuchinarai,กุฉินารายณ์,46050000
Kui Buri,กุยบุรี,77020000
Kumphawapi,กุมภวาปี,41040000
Kusuman,กุสุมาลย์,47020000
